date,type,amount,category,sub_category,description,payment_method,reference_id
2026-01-02,income,25000,sales,wholesale,New year bulk order from City Traders,upi,CITY001
2026-01-05,expense,5000,raw_materials,cotton,Cotton purchase from Supplier A - 2000kg,bank_transfer,PURCH001
2026-01-06,income,18000,sales,retail,Order from Local Boutique - Saree collection,cash,BOUT001
2026-01-08,expense,3000,utilities,electricity,Monthly electricity bill - January,upi,UTIL001
2026-01-10,income,32000,sales,bulk,Bulk order from Eco Store - 150 pieces,cheque,ECO001
2026-01-12,expense,2000,logistics,transport,Delivery charges for City Traders & Eco Store,bank_transfer,LOG001
2026-01-15,expense,4000,salaries,wages,Monthly staff wages - January,bank_transfer,SAL001
2026-01-18,income,22000,sales,export,Export Corp order - Premium Sarees,swift,EXPO001
2026-01-20,expense,6000,raw_materials,dye,Dye purchase - Indigo & Crimson,upi,PURCH002
2026-01-25,expense,1500,maintenance,equipment,Sewing machine servicing - 3 units,bank_transfer,MAINT001
2026-01-28,income,28000,sales,wholesale,City Distributors bulk order - Kurtis,cheque,CITY002
2026-01-30,expense,2000,marketing,promotion,Social media ad campaign,upi,MARK001
2026-02-02,income,15000,sales,retail,Local shop order - Dupatta collection,cash,LOCAL001
2026-02-05,expense,4500,raw_materials,cotton,Raw material restock - Premium Cotton,bank_transfer,PURCH003
2026-02-08,expense,2500,utilities,water,Water and electricity bill - February,upi,UTIL002
2026-02-10,income,42000,sales,bulk,Government school uniform order - 500 units,cheque,GOVT001
2026-02-12,expense,1800,logistics,transport,Delivery to Government School,bank_transfer,LOG002
2026-02-15,expense,4000,salaries,wages,February staff payment,bank_transfer,SAL002
2026-02-18,income,35000,sales,export,International buyer order - Designer collection,swift,INT001
2026-02-20,expense,7000,raw_materials,material,Massive material order - Thread & Fabric,upi,PURCH004
2026-02-25,expense,2000,maintenance,machine,Sewing machine overhaul - 2 units,bank_transfer,MAINT002
2026-02-28,income,27000,sales,wholesale,Eco Store repeat order - Sarees,cheque,ECO002
